,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1082,mic-3_seal_chirp,7100.0,61.09,62.458,61.856,60.992,59.111,61.399,62.698,61.433,63.856,60.332,61.288,56.979,57.715,59.567,63.385,58.992,59.294,61.353,59.834,60.766
1083,mic-3_seal_chirp,7500.0,58.146,59.581,61.867,61.772,58.741,58.494,57.483,63.424,61.891,58.751,56.543,59.515,56.946,61.193,59.134,61.72,56.164,63.945,63.03,60.078
1084,mic-3_seal_chirp,8000.0,61.366,61.847,61.623,61.231,59.976,62.555,64.126,61.519,59.977,61.807,59.741,60.315,59.485,61.521,62.059,60.617,61.122,57.021,61.128,61.235
1085,mic-3_seal_chirp,8500.0,58.749,62.57,62.588,61.019,61.106,59.684,62.516,59.776,60.189,64.37,61.963,59.052,63.455,57.154,64.302,61.832,59.753,62.744,61.666,65.753
1086,mic-3_seal_chirp,9000.0,60.167,62.005,60.533,61.231,60.361,60.004,60.669,58.331,58.167,61.045,61.867,63.775,62.701,61.814,65.768,62.321,61.415,64.877,61.12,64.776
1087,mic-3_seal_chirp,9500.0,63.372,65.882,64.166,64.115,67.761,66.555,62.739,64.577,63.792,63.173,60.656,65.158,64.409,65.623,66.783,64.044,68.957,68.603,71.913,65.723
1088,mic-3_seal_chirp,10000.0,65.144,65.177,66.637,68.94,63.611,64.201,64.526,62.512,65.991,67.196,68.026,65.457,66.609,64.878,69.903,69.013,69.905,65.023,65.589,65.143
1089,mic-3_seal_chirp,10600.0,62.913,66.414,65.286,64.884,67.325,70.173,64.596,66.092,65.257,69.301,69.606,65.318,65.953,67.527,66.371,66.532,68.445,63.037,66.931,68.287
1090,mic-3_seal_chirp,11200.0,65.912,70.455,67.501,65.761,69.112,67.323,68.053,65.008,70.536,69.597,69.128,66.011,67.529,64.978,67.964,70.982,65.34,67.817,64.427,64.75
1091,mic-3_seal_chirp,11800.0,68.526,62.706,65.686,68.252,64.904,66.924,64.171,63.856,63.749,64.963,61.937,60.808,65.967,63.538,63.182,61.51,63.986,63.286,64.553,63.486
1092,mic-3_seal_chirp,12500.0,61.435,61.611,61.07,60.08,63.615,59.367,64.155,59.935,61.667,57.796,59.778,62.638,60.99,58.911,62.8,59.885,62.527,61.895,62.725,64.306
