,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
784,mic-3_fr,1500.0,-37.257,-37.244,-37.248,-37.249,-37.255,-37.249,-37.243,-37.244,-37.249,-37.248,-37.876,-37.866,-37.872,-37.878,-37.883,-37.883,-37.884,-37.888,-37.889,-37.888
785,mic-3_fr,1600.0,-37.079,-37.066,-37.071,-37.071,-37.078,-37.07,-37.065,-37.063,-37.07,-37.069,-37.608,-37.594,-37.604,-37.614,-37.615,-37.616,-37.616,-37.621,-37.621,-37.621
786,mic-3_fr,1700.0,-37.159,-37.15,-37.157,-37.154,-37.161,-37.153,-37.147,-37.148,-37.154,-37.152,-37.544,-37.539,-37.551,-37.558,-37.559,-37.559,-37.56,-37.565,-37.568,-37.563
787,mic-3_fr,1800.0,-37.419,-37.412,-37.423,-37.419,-37.426,-37.421,-37.413,-37.415,-37.419,-37.417,-37.904,-37.902,-37.909,-37.918,-37.918,-37.921,-37.92,-37.923,-37.927,-37.921
788,mic-3_fr,1900.0,-36.909,-36.9,-36.911,-36.907,-36.914,-36.909,-36.902,-36.905,-36.911,-36.91,-37.681,-37.675,-37.685,-37.697,-37.696,-37.7,-37.699,-37.703,-37.707,-37.704
789,mic-3_fr,2000.0,-36.934,-36.925,-36.937,-36.934,-36.936,-36.93,-36.926,-36.927,-36.935,-36.931,-37.297,-37.295,-37.31,-37.32,-37.318,-37.323,-37.322,-37.327,-37.332,-37.33
790,mic-3_fr,2120.0,-37.061,-37.04,-37.045,-37.036,-37.029,-37.021,-37.017,-37.014,-37.023,-37.016,-37.509,-37.513,-37.525,-37.532,-37.536,-37.536,-37.536,-37.542,-37.546,-37.544
791,mic-3_fr,2240.0,-36.755,-36.748,-36.759,-36.757,-36.754,-36.749,-36.748,-36.749,-36.758,-36.75,-37.533,-37.53,-37.539,-37.551,-37.548,-37.55,-37.549,-37.556,-37.559,-37.557
792,mic-3_fr,2360.0,-36.635,-36.625,-36.636,-36.632,-36.632,-36.63,-36.627,-36.624,-36.639,-36.631,-37.25,-37.247,-37.257,-37.266,-37.267,-37.268,-37.269,-37.275,-37.279,-37.278
793,mic-3_fr,2500.0,-36.677,-36.672,-36.681,-36.674,-36.674,-36.669,-36.668,-36.667,-36.684,-36.672,-37.197,-37.197,-37.206,-37.216,-37.219,-37.22,-37.222,-37.226,-37.232,-37.232
794,mic-3_fr,2650.0,-36.709,-36.704,-36.716,-36.709,-36.708,-36.704,-36.699,-36.701,-36.716,-36.707,-37.169,-37.173,-37.186,-37.191,-37.196,-37.196,-37.197,-37.203,-37.206,-37.203
795,mic-3_fr,2800.0,-36.703,-36.697,-36.71,-36.704,-36.708,-36.699,-36.701,-36.7,-36.714,-36.706,-37.212,-37.214,-37.226,-37.237,-37.24,-37.239,-37.244,-37.251,-37.252,-37.255
796,mic-3_fr,3000.0,-36.121,-36.117,-36.128,-36.123,-36.128,-36.123,-36.12,-36.118,-36.135,-36.128,-36.841,-36.842,-36.858,-36.865,-36.861,-36.867,-36.875,-36.878,-36.887,-36.887
797,mic-3_fr,3150.0,-36.085,-36.08,-36.09,-36.086,-36.088,-36.084,-36.076,-36.081,-36.091,-36.087,-36.766,-36.778,-36.79,-36.8,-36.799,-36.8,-36.804,-36.812,-36.82,-36.817
798,mic-3_fr,3350.0,-36.18,-36.177,-36.177,-36.177,-36.164,-36.162,-36.169,-36.169,-36.17,-36.167,-36.58,-36.604,-36.615,-36.618,-36.613,-36.615,-36.619,-36.623,-36.627,-36.628
799,mic-3_fr,3550.0,-36.478,-36.458,-36.45,-36.449,-36.439,-36.44,-36.433,-36.428,-36.431,-36.434,-36.721,-36.729,-36.746,-36.746,-36.739,-36.744,-36.75,-36.749,-36.755,-36.759
800,mic-3_fr,3750.0,-37.013,-36.995,-37,-37.007,-37.003,-37.003,-36.999,-36.996,-37.003,-37.008,-36.999,-37.014,-37.031,-37.035,-37.036,-37.03,-37.031,-37.035,-37.037,-37.042
801,mic-3_fr,4000.0,-36.752,-36.736,-36.73,-36.734,-36.738,-36.727,-36.727,-36.721,-36.728,-36.729,-36.299,-36.305,-36.321,-36.328,-36.327,-36.334,-36.341,-36.335,-36.344,-36.348
802,mic-3_fr,4250.0,-35.964,-35.958,-35.947,-35.946,-35.942,-35.941,-35.946,-35.934,-35.932,-35.936,-36.1,-36.134,-36.15,-36.149,-36.149,-36.144,-36.154,-36.152,-36.157,-36.16
803,mic-3_fr,4500.0,-35.694,-35.686,-35.685,-35.689,-35.701,-35.691,-35.68,-35.682,-35.691,-35.697,-35.939,-35.929,-35.951,-35.966,-35.98,-35.99,-35.992,-35.997,-35.999,-36.004
804,mic-3_fr,4750.0,-34.416,-34.416,-34.411,-34.404,-34.412,-34.403,-34.404,-34.407,-34.404,-34.4,-35.104,-35.128,-35.149,-35.148,-35.154,-35.151,-35.163,-35.156,-35.17,-35.165
805,mic-3_fr,5000.0,-35.288,-35.273,-35.27,-35.273,-35.274,-35.273,-35.268,-35.265,-35.277,-35.27,-35.46,-35.483,-35.504,-35.506,-35.511,-35.515,-35.527,-35.529,-35.533,-35.534
806,mic-3_fr,5300.0,-34.434,-34.443,-34.44,-34.443,-34.434,-34.435,-34.444,-34.446,-34.444,-34.426,-35.141,-35.174,-35.193,-35.197,-35.195,-35.196,-35.201,-35.209,-35.217,-35.216
