,0,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654
phase,dut_id,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn,hac-1_thdn
14,5B031FDDX00004,74.804,73.836,72.629,71.433,70.182,68.677,63.915,60.27,56.736,53.134,49.067,46.16,43.363,40.694,37.569,30.335,22.12,12.292,1.813,1.69,1.574,1.471,1.348,1.223,1.122,1.003,0.897,0.799,0.689,0.619,0.553,0.532,0.526,0.502,0.523,0.48,0.462,0.446,0.444,0.433,0.45,0.47,0.504,0.506,0.474,0.474
15,5B031FDDX00004,75.333,74.347,73.114,71.918,70.709,69.187,64.366,60.726,57.157,53.438,49.426,46.401,43.551,40.886,37.73,30.498,22.304,12.533,1.804,1.691,1.567,1.456,1.337,1.217,1.141,1.0,0.931,0.885,0.689,0.613,0.56,0.527,0.512,0.497,0.488,0.472,0.453,0.438,0.447,0.435,0.452,0.465,0.507,0.508,0.477,0.473
16,5B031FDDX00004,74.758,73.871,72.646,71.459,70.355,68.709,64.02,60.313,56.757,53.143,49.084,46.175,43.401,40.717,37.618,30.38,22.145,12.341,1.809,1.693,1.57,1.47,1.345,1.225,1.126,1.001,0.899,0.794,0.69,0.604,0.551,0.519,0.51,0.494,0.484,0.473,0.453,0.44,0.445,0.431,0.442,0.462,0.505,0.51,0.476,0.47
17,5B031FDDX00004,75.384,74.464,73.228,71.937,70.713,69.168,64.465,60.791,57.264,53.649,49.493,46.692,43.828,41.216,38.057,30.879,22.628,12.991,1.859,1.749,1.658,1.489,1.36,1.23,1.129,1.026,0.928,0.831,0.736,0.64,0.594,0.524,0.49,0.466,0.464,0.468,0.509,0.489,0.455,0.456,0.495,0.511,0.553,0.545,0.511,0.498
18,5B031FDDX00004,65.063,61.823,59.497,57.526,55.219,52.875,50.566,46.895,44.452,40.644,37.88,34.91,32.175,29.344,26.196,21.631,12.234,3.635,1.8,1.711,1.575,1.468,1.341,1.242,1.193,1.166,0.931,0.853,0.764,0.673,0.586,0.563,0.507,0.503,0.52,0.479,0.47,0.446,0.507,0.495,0.453,0.493,0.498,0.523,0.528,0.525
19,5B031FDDX00004,65.202,61.751,59.647,57.533,55.323,53.006,50.7,46.937,44.547,40.799,37.97,34.899,32.279,29.471,26.238,21.715,12.265,3.666,1.801,1.716,1.585,1.485,1.473,1.26,1.16,1.034,0.953,0.86,0.753,0.67,0.616,0.596,0.532,0.527,0.525,0.488,0.476,0.444,0.491,0.541,0.468,0.529,0.516,0.522,0.55,0.575
20,5B031FDDX00004,65.207,61.812,59.635,57.503,55.37,52.993,50.733,47.044,44.635,40.905,38.051,35.059,32.333,29.557,26.309,21.809,12.354,3.62,1.789,1.675,1.562,1.546,1.379,1.235,1.131,1.043,0.961,0.845,0.751,0.656,0.643,0.601,0.525,0.528,0.501,0.616,0.497,0.443,0.531,0.527,0.519,0.553,0.515,0.531,0.529,0.554
21,5B031FDDX00004,65.249,61.925,59.774,57.624,55.386,53.035,50.725,47.124,44.665,40.815,38.123,35.096,32.356,29.567,26.386,21.871,12.412,3.639,1.804,1.748,1.634,1.487,1.367,1.254,1.177,1.062,0.958,0.896,0.771,0.741,0.684,0.632,0.598,0.541,0.572,0.547,0.5,0.488,0.53,0.568,0.528,0.56,0.59,0.537,0.583,0.562
22,5B031FDDX00004,65.345,61.944,59.801,57.638,55.514,53.129,50.872,47.108,44.805,40.929,38.215,35.099,32.437,29.594,26.556,21.875,12.559,3.619,1.769,1.668,1.583,1.504,1.383,1.272,1.13,1.052,0.976,0.865,0.774,0.676,0.628,0.599,0.538,0.521,0.59,0.501,0.483,0.47,0.549,0.495,0.477,0.507,0.512,0.587,0.56,0.537
23,5B031FDDX00004,65.34,62.006,59.967,57.592,55.488,53.208,50.894,47.06,44.753,41.042,38.179,35.199,32.46,29.676,26.487,21.951,12.542,3.622,1.771,1.669,1.546,1.444,1.364,1.223,1.133,1.016,0.941,0.921,0.746,0.688,0.627,0.578,0.569,0.522,0.586,0.47,0.502,0.527,0.488,0.49,0.467,0.491,0.51,0.5,0.533,0.531
